UniRef90_A0A1A7ULU5	0.444631	SID31557_genefamilies-cpm.tsv
UniRef90_A0A174BG05	0.127287	SID530227_genefamilies-cpm.tsv
UniRef90_R7D7H4	0.553305	SID31705_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.179475	SID31705_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.589221	SID31512_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.138484	SID31428_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.482739	SID530172_genefamilies-cpm.tsv
UniRef90_A0A227LNJ2	16.4609	SID531403_genefamilies-cpm.tsv
UniRef90_A0A100YR89	1.60749	SID531403_genefamilies-cpm.tsv
UniRef90_A0A174BG05	0.445734	SID531403_genefamilies-cpm.tsv
UniRef90_Q8G9W1	0.17365	SID531403_genefamilies-cpm.tsv
UniRef90_R7D7H4	2.24212	SID31237_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.394272	SID31237_genefamilies-cpm.tsv
UniRef90_A0A1A7ULU5	0.378628	SID530154_genefamilies-cpm.tsv
UniRef90_A0A227LNJ2	0.918022	SID31337_genefamilies-cpm.tsv
UniRef90_Q8G9W1	0.886673	SID31337_genefamilies-cpm.tsv
UniRef90_A0A174BG05	0.463051	SID31337_genefamilies-cpm.tsv
UniRef90_A0A0F0CDT1	0.350923	SID31337_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.202909	SID31871_genefamilies-cpm.tsv
UniRef90_Q8G9W1	8.5401	SID531274_genefamilies-cpm.tsv
UniRef90_A0A1A7ULU5	0.357057	SID531274_genefamilies-cpm.tsv
UniRef90_Q8G9W1	2.04874	SID31637_genefamilies-cpm.tsv
UniRef90_Q8G9W1	5.23554	SID31450_genefamilies-cpm.tsv
UniRef90_C5EEA3	3.05465	SID31450_genefamilies-cpm.tsv
UniRef90_A0A174BG05	1.99428	SID31450_genefamilies-cpm.tsv
UniRef90_A0A0F0CDT1	0.398384	SID31450_genefamilies-cpm.tsv
UniRef90_A0A2T1LGM3	0.280031	SID31450_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.281988	SID530177_genefamilies-cpm.tsv
UniRef90_A0A227LNJ2	1.4234	SID532826_genefamilies-cpm.tsv
UniRef90_A0A0F0CDT1	0.281935	SID532826_genefamilies-cpm.tsv
UniRef90_C5EEA3	0.212437	SID532826_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.453541	SID530215_genefamilies-cpm.tsv
UniRef90_Q8G9W1	0.310855	SID530215_genefamilies-cpm.tsv
UniRef90_R7D7H4	1.39336	SID31333_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.231133	SID31333_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.467969	SID31236_genefamilies-cpm.tsv
UniRef90_A0A227LNJ2	13.8822	SID532749_genefamilies-cpm.tsv
UniRef90_A0A0F0CDT1	10.3426	SID532749_genefamilies-cpm.tsv
UniRef90_C5EEA3	5.05538	SID532749_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	1.97876	SID532749_genefamilies-cpm.tsv
UniRef90_R7D7H4	2.93983	SID530444_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	1.70126	SID530444_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.393095	SID31537_genefamilies-cpm.tsv
UniRef90_Q8G9W1	6.16734	SID31343_genefamilies-cpm.tsv
UniRef90_A0A1A7ULU5	0.290113	SID31343_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.499916	SID530315_genefamilies-cpm.tsv
UniRef90_Q8G9W1	1.94898	SID531155_genefamilies-cpm.tsv
UniRef90_R7D7H4	2.50464	SID31582_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.969861	SID31582_genefamilies-cpm.tsv
UniRef90_A0A1C5SQE6	0.271525	SID31493_genefamilies-cpm.tsv
UniRef90_Q8G9W1	0.0872245	SID31493_genefamilies-cpm.tsv
UniRef90_A0A0F0CDT1	0.219756	SID532305_genefamilies-cpm.tsv
