dataset_name	study_condition	median_mpa2	median_mpa3	perc_inc
FengQ_2015	Control	72	104	44.4
FengQ_2015	CRC	90	121.5	35
GuptaA_2019	Control	25.5	36	41.2
GuptaA_2019	CRC	42.5	55.5	30.6
ThomasAM_2019_a	Control	55	78	41.8
ThomasAM_2019_a	CRC	58	79	36.2
ThomasAM_2019_b	Control	70	98	40
ThomasAM_2019_b	CRC	85	117.5	38.2
VogtmannE_2016	Control	77	109	41.6
VogtmannE_2016	CRC	84	116	38.1
WirbelJ_2018	Control	64	91	42.2
WirbelJ_2018	CRC	70	100	42.9
YachidaS_2019	Control	65	83	27.7
YachidaS_2019	CRC	70	90	28.6
YuJ_2015	Control	75	103	37.3
YuJ_2015	CRC	87.5	117.5	34.3
ZellerG_2014	Control	74	109	47.3
ZellerG_2014	CRC	76	115	51.3
